left_ear,right_ear,avg_ear,mar,mean_intensity,std_intensity,edge_density,face_w_ratio,face_h_ratio,target,filename
0.25,0.25,0.25,0.2051281998685077,0.4277722180760039,0.138748415037157,0.0414504036898921,0.8986784101379806,0.8986784101379806,1,X0097.png
0.9999999687500012,0.9999999761904768,0.999999972470239,2.874999910156253,0.4499472969717187,0.182022251177013,0.032520085065202,0.8105726836538648,0.8105726836538648,0,l0016.png
0.25,0.25,0.25,2.578947232686988,0.4635045402709695,0.2020747458811102,0.0676540798592758,0.8458149742475112,0.8458149742475112,1,N0492.png
0.9999999821428576,0.9999999821428576,0.9999999821428576,0.2820512748191981,0.4059669094480892,0.1620972776338257,0.0627067580321743,0.8105726836538648,0.8105726836538648,0,zc0726.png
0.25,0.25,0.25,0.6274509762911701,0.3173544092116013,0.2047404485936194,0.0763346354145959,0.8458149742475112,0.8458149742475112,0,y0185.png
0.25,0.25,0.25,0.7460317401108593,0.3058241019359305,0.1393007687860369,0.0320563603431401,0.8281938289506879,0.8281938289506879,0,h0018.png
0.25,0.25,0.25,1.025974012649688,0.4184131815991702,0.2060066293113238,0.082413577673823,0.8634361195443343,0.8634361195443343,1,P0571.png
0.9999999821428576,0.9999999777777784,0.999999979960318,4.130434603024582,0.5363977140924957,0.1987605943746187,0.0547297108128347,0.8325991152748937,0.8325991152748937,1,L0651.png
0.9999999777777784,0.9999999777777784,0.9999999777777784,0.6357615851936319,0.3357289934970178,0.2106579648988082,0.0727776102608816,0.8414096879233054,0.8414096879233054,0,y0379.png
0.9999999803921572,0.9999999803921572,0.9999999803921572,0.781512598474684,0.3534221342601094,0.1899975711726024,0.0425193663995109,0.8193832563022764,0.8193832563022764,0,l0276.png
0.25,0.25,0.25,0.693430651872769,0.2647500950518711,0.1244617099958348,0.0238227146807805,0.8370044015990996,0.8370044015990996,1,Y0114.png
0.9999999666666678,0.9999999666666678,0.9999999666666678,0.5895953723144777,0.316247783298813,0.2200904188424873,0.0437283117754925,0.8942731238137748,0.8942731238137748,0,e0133.png
